herb_id,herb_name_sinhala,herb_name_english,herb_name_latin,family,synonyms,treatment_for,parts_used_in_treatment,description,dosage,contraindications,compounds,native_distribution,conservation_status,edible_parts,medical_properties,source,source_type
SLH-0001,Gotukola,Asiatic pennywort,Centella asiatica,Apiaceae,,memory improvement; wound healing; skin diseases,roots; leaves; flowers,"Asiatic pennywort (Centella asiatica), known in Sinhala as Gotukola, is a medicinal plant of the family Apiaceae recorded in Sri Lankan traditional medicine. It is traditionally used for memory improvement, wound healing, skin diseases. The roots are the most commonly used part, usually prepared as a powder. Reported properties include antipyretic, antifungal activity.","Dried roots powder: 3-5 g with warm water, twice daily. ",May interact with antihypertensive medication,essential oils; phenolic acids; quercetin,Central highlands,Data Deficient,leaves (as mallum),antipyretic; antifungal,Sri Lanka Herbal Knowledge Survey Records ,field_survey
SLH-0002,Kohomba,Neem,Azadirachta indica,Meliaceae,Kohomba kola; neem,skin diseases; fever; diabetes,flowers; leaves; bark,"Neem (Azadirachta indica), known in Sinhala as Kohomba, is a medicinal plant of the family Meliaceae recorded in Sri Lankan traditional medicine. It is traditionally used for skin diseases, fever, diabetes. The flowers are the most commonly used part, usually prepared as a capsule. Reported properties include diuretic, antipyretic activity.",Standardised extract capsule: 500 mg once daily. ,Prolonged high-dose use may cause loose stools; Use with caution in chronic kidney disease,alkaloids; lignans; phenolic acids; ellagic acid,Northern dry zone,Vulnerable,seeds (after processing),diuretic; antipyretic; antidiabetic,Traditional Ayurveda Compendium of Sri Lanka ,traditional_text
SLH-0003,Iramusu,Indian sarsaparilla,Hemidesmus indicus,Apocynaceae,,blood purification; urinary disorders; skin diseases,tubers; fruits; tender shoots,"Indian sarsaparilla (Hemidesmus indicus), known in Sinhala as Iramusu, is a medicinal plant of the family Apocynaceae recorded in Sri Lankan traditional medicine. It is traditionally used for blood purification, urinary disorders, skin diseases. The tubers are the most commonly used part, usually prepared as a powder. Reported properties include antibacterial, antioxidant activity.","Dried tubers powder: 3-5 g with warm water, once daily. ",Use with caution in liver disease; May enhance the effect of antidiabetic medication; monitor blood sugar; Avoid immediately before surgery,alkaloids; saponins; lignans; gallic acid; oleanolic acid,Southern lowlands,Least Concern,young leaves,antibacterial; antioxidant; demulcent; hepatoprotective,Indigenous Medicine Field Notes Vol. II ,traditional_text
SLH-0004,Beli,Bael,Aegle marmelos,Rutaceae,Beli kola; bael,diarrhoea; dysentery; digestive disorders,gum; stem; bark,"Bael (Aegle marmelos), known in Sinhala as Beli, is a medicinal plant of the family Rutaceae recorded in Sri Lankan traditional medicine. It is traditionally used for diarrhoea, dysentery, digestive disorders. The gum are the most commonly used part, usually prepared as a porridge (kola kanda). Reported properties include diuretic, nervine tonic activity.","Herbal porridge (kola kanda) prepared with fresh gum, consumed as breakfast 2-3 times weekly. ",Use with caution in liver disease,polysaccharides; glycosides; beta-sitosterol,Southern lowlands,Common (cultivated),fruits,diuretic; nervine tonic; hypotensive,Medicinal Plants Reference Database ,database
SLH-0005,Aralu,Chebulic myrobalan,Terminalia chebula,Combretaceae,,constipation; cough; digestive disorders,latex,"Chebulic myrobalan (Terminalia chebula), known in Sinhala as Aralu, is a medicinal plant of the family Combretaceae recorded in Sri Lankan traditional medicine. It is traditionally used for constipation, cough, digestive disorders. The latex are the most commonly used part, usually prepared as a porridge (kola kanda). Reported properties include nervine tonic, immunomodulatory activity.","Herbal porridge (kola kanda) prepared with fresh latex, consumed as breakfast 2-3 times weekly. ",Prolonged high-dose use may cause loose stools; May cause gastric irritation in high doses,tannins; saponins; anthraquinones; catechin; apigenin,Uva region,Least Concern,young leaves,nervine tonic; immunomodulatory; antipyretic,Indigenous Medicine Field Notes Vol. II ,traditional_text
SLH-0006,Bulu,Belliric myrobalan,Terminalia bellirica,Combretaceae,,cough; sore throat; digestive disorders,roots,"Belliric myrobalan (Terminalia bellirica), known in Sinhala as Bulu, is a medicinal plant of the family Combretaceae recorded in Sri Lankan traditional medicine. It is traditionally used for cough, sore throat, digestive disorders. The roots are the most commonly used part, usually prepared as a fresh juice. Reported properties include analgesic, demulcent activity.",Fresh juice of roots: 15-30 ml daily on an empty stomach. ,Avoid during pregnancy unless advised by a qualified practitioner; May cause allergic skin reaction in sensitive individuals; Use with caution while breastfeeding,phenolic acids; lignans; ursolic acid; gallic acid,Dry zone,Vulnerable,leaves (as mallum),analgesic; demulcent; antispasmodic; galactagogue,Ethnobotanical Research Archive ,research_paper
SLH-0007,Nelli,Indian gooseberry,Phyllanthus emblica,Phyllanthaceae,,immunity support; hair care; gastritis,bark; whole plant,"Indian gooseberry (Phyllanthus emblica), known in Sinhala as Nelli, is a medicinal plant of the family Phyllanthaceae recorded in Sri Lankan traditional medicine. It is traditionally used for immunity support, hair care, gastritis. The bark are the most commonly used part, usually prepared as a decoction. Reported properties include diuretic, anthelmintic activity.","Decoction of bark: 30 ml, twice daily after meals. ",May enhance the effect of antidiabetic medication; monitor blood sugar; Not recommended for children under 5 years,lignans; polysaccharides; coumarins; rutin,Home gardens island-wide,Vulnerable,none recorded,diuretic; anthelmintic; analgesic; antifungal,Community Ayurveda Practitioner Interviews ,expert_interview
SLH-0008,Venivelgeta,False calumba,Coscinium fenestratum,Menispermaceae,,fever; wound cleaning; diabetes,leaves,"False calumba (Coscinium fenestratum), known in Sinhala as Venivelgeta, is a medicinal plant of the family Menispermaceae recorded in Sri Lankan traditional medicine. It is traditionally used for fever, wound cleaning, diabetes. The leaves are the most commonly used part, usually prepared as a powder. Reported properties include antibacterial, wound-healing activity.","Dried leaves powder: 2-3 g with warm water, twice daily. ",Prolonged high-dose use may cause loose stools; May cause gastric irritation in high doses; May interact with antihypertensive medication,polysaccharides; sterols; gallic acid,Knuckles range,Common (cultivated),none recorded,antibacterial; wound-healing; hypotensive; antipyretic,Community Ayurveda Practitioner Interviews ,expert_interview
SLH-0009,Katuwelbatu,Yellow-berried nightshade,Solanum virginianum,Solanaceae,,cough; asthma; chest congestion,rhizome; whole plant,"Yellow-berried nightshade (Solanum virginianum), known in Sinhala as Katuwelbatu, is a medicinal plant of the family Solanaceae recorded in Sri Lankan traditional medicine. It is traditionally used for cough, asthma, chest congestion. The rhizome are the most commonly used part, usually prepared as a herbal tea. Reported properties include hepatoprotective, antibacterial activity.","Herbal tea: steep 1 tsp of dried rhizome in hot water, drink twice daily. ",Avoid during pregnancy unless advised by a qualified practitioner,flavonoids; essential oils; coumarins; apigenin,Dry zone,Near Threatened,seeds (after processing),hepatoprotective; antibacterial,Traditional Ayurveda Compendium of Sri Lanka ,traditional_text
SLH-0010,Elabatu,Wild brinjal,Solanum insanum,Solanaceae,,cough; catarrh; digestive disorders,latex; whole plant,"Wild brinjal (Solanum insanum), known in Sinhala as Elabatu, is a medicinal plant of the family Solanaceae recorded in Sri Lankan traditional medicine. It is traditionally used for cough, catarrh, digestive disorders. The latex are the most commonly used part, usually prepared as a powder. Reported properties include antipyretic, antitussive activity.","Dried latex powder: 3-5 g with warm water, once daily. ",May cause gastric irritation in high doses; Use with caution in liver disease; Avoid immediately before surgery,iridoids; phenolic acids; saponins; kaempferol,Wet zone lowlands,Common (cultivated),tender shoots,antipyretic; antitussive; wound-healing; hepatoprotective,Medicinal Plants Reference Database ,database
